,sid,season,number,name,iso_time,lat,lon,dist2land,usa_status,usa_wind,usa_pres,usa_sshs,storm_speed,storm_dir,geo_250,u_wind_250,v_wind_250,humid_250,temp_250,geo_550,u_wind_550,v_wind_550,humid_550,temp_550,geo_850,u_wind_850,v_wind_850,humid_850,temp_850
4867,1967162N17275,1967,35,NOT_NAMED,1967-06-10 12:00:00,17.0,-85.0,123,TD,25.0,1006.0,-1,3,0,107147.86,6.4281507,-1.9902368,0.00017578513,231.59233,49901.656,2.1874993,-0.24457946,0.0042833243,271.85202,14609.701,4.1197968,3.3382056,0.012562759,290.60254
4868,1967162N17275,1967,35,NOT_NAMED,1967-06-10 15:00:00,17.15,-85.0025,145,TD,25.0,1005.0,-1,3,0,107220.98,6.751337,-2.234069,0.00019761303,231.76437,49967.08,2.3530884,0.11266113,0.004218718,271.74765,14667.16,4.019152,2.550083,0.012526114,290.7709
4869,1967162N17275,1967,35,NOT_NAMED,1967-06-10 18:00:00,17.3,-85.0,156,TD,25.0,1005.0,-1,3,0,107214.29,6.804031,-3.0280657,0.00020573348,232.20636,49928.83,3.1026447,0.055195313,0.0041020773,271.6394,14624.301,3.749162,2.3017707,0.012659029,290.97992
4870,1967162N17275,1967,35,NOT_NAMED,1967-06-10 21:00:00,17.45,-84.9925,179,TD,25.0,1004.0,-1,3,0,107134.16,6.677762,-3.2441552,0.00019476002,232.5422,49788.68,3.807321,-0.8017865,0.0039709383,271.718,14461.5625,3.555058,1.5140332,0.012665013,291.22824
4871,1967162N17275,1967,35,NOT_NAMED,1967-06-11 00:00:00,17.6,-85.0,190,TD,25.0,1004.0,-1,3,354,107214.57,5.4917665,-1.9982257,0.00013263398,232.4506,49807.965,1.7073969,-1.3460981,0.0038117385,272.3884,14421.191,0.43630922,0.7000061,0.012641966,291.3075
4872,1967162N17275,1967,35,NOT_NAMED,1967-06-11 03:00:00,17.7575,-85.035,212,TD,25.0,1004.0,-1,3,343,107219.87,4.4778748,-2.7571795,0.00012970906,232.52672,49895.76,1.4955701,-0.50164247,0.003889533,271.8632,14566.209,0.2194635,2.0865083,0.012673538,291.17316
4873,1967162N17275,1967,35,NOT_NAMED,1967-06-11 06:00:00,17.9,-85.1,223,TD,25.0,1004.0,-1,3,331,107186.69,3.5121362,-3.529494,0.00013445516,232.70775,49831.93,2.0966265,0.08028626,0.0035355657,271.95804,14508.88,0.6570325,3.23771,0.012578981,291.26492
4874,1967162N17275,1967,35,NOT_NAMED,1967-06-11 09:00:00,18.0075,-85.1775,235,TD,25.0,1004.0,-1,3,316,106987.06,2.195329,-3.8736854,0.00014603882,232.72475,49685.484,3.3768733,-0.14987244,0.0033284586,271.7556,14383.085,1.5547004,3.7004852,0.012652873,291.18454
4875,1967162N17275,1967,35,NOT_NAMED,1967-06-11 12:00:00,18.1,-85.3,246,TD,25.0,1004.0,-1,3,305,106989.66,0.78706664,-5.7498903,0.00013584761,232.32347,49794.996,2.9061897,-1.5615246,0.002864442,271.91455,14446.336,1.2708746,4.371488,0.012141373,291.5843
4876,1967162N17275,1967,35,NOT_NAMED,1967-06-11 15:00:00,18.2075,-85.4775,234,TD,25.0,1008.0,-1,4,298,107130.4,-0.88884705,-5.6750975,0.00014497648,232.43556,49924.613,2.2123835,-0.4296338,0.0026471263,272.05438,14546.832,2.8534424,4.0256157,0.012034702,291.67035
