,sid,season,number,name,iso_time,lat,lon,dist2land,usa_status,usa_wind,usa_pres,usa_sshs,storm_speed,storm_dir,geo_250,u_wind_250,v_wind_250,geo_550,u_wind_550,v_wind_550,geo_850,u_wind_850,v_wind_850
18304,1983205N10322,1983,36,NOT_NAMED,1983-07-23 12:00:00,10.0,-38.0,1459,TD,20.0,1008.0,-1,14,275,107763.88,-5.0662785,5.2721157,50355.594,-9.5192795,-3.0706341,15077.963,-5.035762,2.5380018
18305,1983205N10322,1983,36,NOT_NAMED,1983-07-23 15:00:00,10.0628,-38.6977,1461,TD,22.0,1008.0,-1,14,278,107783.56,-4.798265,5.4675593,50362.55,-9.347982,-2.3598657,15079.456,-4.1695156,2.519658
18306,1983205N10322,1983,36,NOT_NAMED,1983-07-23 18:00:00,10.2,-39.4,1445,TD,25.0,1008.0,-1,14,286,107629.42,-4.0414357,4.897562,50226.8,-8.865181,-1.4647125,14955.883,-3.440461,1.9985498
18307,1983205N10322,1983,36,NOT_NAMED,1983-07-23 21:00:00,10.4499,-40.1073,1412,TD,25.0,1008.0,-1,15,290,107590.53,-4.572956,3.9570544,50257.996,-9.086556,-1.099284,15012.687,-2.8524346,1.8167431
18308,1983205N10322,1983,36,NOT_NAMED,1983-07-24 00:00:00,10.7,-40.8,1361,TD,25.0,1008.0,-1,14,286,107692.37,-5.6184163,3.3261414,50387.25,-9.318269,-0.61232114,15123.001,-3.5613806,1.8514361
18309,1983205N10322,1983,36,NOT_NAMED,1983-07-24 03:00:00,10.8298,-41.4576,1303,TD,27.0,1008.0,-1,13,279,107606.66,-5.202054,2.6764135,50357.27,-8.963946,-0.53414243,15096.634,-2.8693383,2.1196587
18310,1983205N10322,1983,36,NOT_NAMED,1983-07-24 06:00:00,10.9,-42.1,1255,TD,30.0,1008.0,-1,13,275,107462.06,-4.6640887,2.3567846,50251.613,-8.145203,-0.42693114,14982.492,-2.287732,1.8558093
18311,1983205N10322,1983,36,NOT_NAMED,1983-07-24 09:00:00,10.9498,-42.7351,1202,TD,30.0,1008.0,-1,13,274,107469.4,-6.3767595,2.5159376,50251.32,-7.6437764,-0.28402343,15000.045,-2.2047722,1.2611945
18312,1983205N10322,1983,36,NOT_NAMED,1983-07-24 12:00:00,11.0,-43.4,1149,TD,30.0,1008.0,-1,14,275,107641.84,-7.6561127,2.1907885,50379.16,-7.608482,-1.0449231,15155.949,-2.0651934,1.4833953
18313,1983205N10322,1983,36,NOT_NAMED,1983-07-24 15:00:00,11.0775,-44.1501,1092,TD,30.0,1008.0,-1,15,278,107695.8,-8.070116,3.6351533,50398.156,-7.16044,-1.0116321,15195.388,-1.7018104,1.135384
18314,1983205N10322,1983,36,NOT_NAMED,1983-07-24 18:00:00,11.2,-44.9,1046,TD,30.0,1008.0,-1,14,283,107587.44,-7.870489,3.980761,50290.684,-6.5290794,-1.8911737,15094.332,-1.3858001,0.64429444
18315,1983205N10322,1983,36,NOT_NAMED,1983-07-24 21:00:00,11.3996,-45.5424,1020,TD,30.0,1008.0,-1,13,287,107563.59,-7.496273,3.1429174,50304.06,-6.9508734,-2.9106421,15102.196,-1.3928827,-0.17513672
18316,1983205N10322,1983,36,NOT_NAMED,1983-07-25 00:00:00,11.6,-46.2,992,TD,30.0,1008.0,-1,15,282,107643.72,-6.320314,3.6611352,50440.46,-9.83836,-2.937923,15226.383,-3.5405543,0.27627686
18317,1983205N10322,1983,36,NOT_NAMED,1983-07-25 03:00:00,11.7152,-47.0076,953,TD,30.0,1008.0,-1,16,277,107584.13,-6.67496,3.4947882,50404.734,-10.282644,-2.9528296,15213.537,-3.9342713,-0.9019446
